toko,nama_produk,harga,harga_origin,diskon,rating,jumlah_review,jumlah_terjual,lokasi,kategori,brand,url_produk,url_gambar,tanggal_scraping
Dandan Online,MY BABY Kids Shampoo & Conditioner 180ml,Rp11.499,Rp17.000,Hemat 32% dengan voucher,5.0,3.0,50,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8720790683.html,https://img.lazcdn.com/g/p/44162e8517f2dd79c72fba9c98f7eb90.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Yunikon Antibacterial Baby Wipes 20s 431208,Rp8.500,,,4.8,1.0,6,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6919944183.html,https://img.lazcdn.com/g/p/5e63ce93fcfa37abe02a4c5694f87c4d.jpg_400x400q75.jpg,2026-04-07
Dandan Online,PIGEON TEENS Eye See U Eye Shadow 2.5Gr (451646),Rp40.172,Rp57.110,Hemat 30% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8800452928.html,https://img.lazcdn.com/g/p/121af8e806bb7b8e6b0656cb99f99c6f.jpg_400x400q75.jpg,2026-04-07
Dandan Online,My Baby Hair Lotion Black & Shine 100ml,Rp26.600,,,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i18815378388.html,https://img.lazcdn.com/g/p/d5a095f82d4396f610a09a89803cceb3.jpg_400x400q75.jpg,2026-04-07
Dandan Online,PIXY Make It Glow Beauty Skin Primer 101 (412917),Rp66.500,Rp68.450,Hemat 3% dengan voucher,5.0,0.0,42,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8396264360.html,https://img.lazcdn.com/g/p/8ea677760495a9b1201c1978fba39ee1.jpg_400x400q75.jpg,2026-04-07
Dandan Online,SLAVINA Body Lotion Spill The Night 200Ml (450313),Rp40.936,Rp53.225,Hemat 23% dengan voucher,5.0,0.0,63,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8790726145.html,https://img.lazcdn.com/g/p/18ac35306fef0e4e5862cd165abb299a.jpg_400x400q75.jpg,2026-04-07
Dandan Online,"Hansaplast ROLL 1,25X100CM 1989 144238",Rp9.700,,,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6920008929.html,https://img.lazcdn.com/g/p/83f68ca15afc32c87c752c19d2429ca1.jpg_400x400q75.jpg,2026-04-07
Dandan Online,SHINZUI Body Scrub 200gr,Rp23.100,,,5.0,3.0,15,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8688908434.html,https://img.lazcdn.com/g/p/8cd76f18666b7743c9ffa5172704d287.jpg_400x400q75.jpg,2026-04-07
Dandan Online,PIGEON Teens Bright Heroes Loose Powder 12gr,Rp31.765,Rp38.945,Hemat 18% dengan voucher,4.7,11.0,52,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8640656651.html,https://img.lazcdn.com/g/p/01e44f266a228347979ddd346d031295.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Viva Face Tonic Bengkoang 100ml 227172,Rp12.100,,,5.0,4.0,15,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6920126900.html,https://img.lazcdn.com/g/p/53c2bd43e3bff10896339d33c77c44bb.jpg_400x400q75.jpg,2026-04-07
Dandan Online,DAZZLE ME Ink Vinyl Lip Lacquer 2.5ml,Rp46.500,Rp47.450,Hemat 2% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8721804661.html,https://img.lazcdn.com/g/p/57b4adadd111518274a124eaec5cc9f7.jpg_400x400q75.jpg,2026-04-07
Dandan Online,My Baby Powder Telon Plus 100+25gr,Rp8.540,Rp9.755,Hemat 12% dengan voucher,5.0,1.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i18815447243.html,https://img.lazcdn.com/g/p/6bfeb733207fc35edc0603070a1a3bdd.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Laurier Soft Relax Night 30 cm 8 Pads (111010),Rp12.500,,,5.0,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i7315714781.html,https://img.lazcdn.com/g/p/e72e787c040b4af24b4210da9e27e686.jpg_400x400q75.jpg,2026-04-07
